Index,batting_team,bowling_team,city,runs_left,balls_left,wickets,target_runs,cur_run_rate,req_run_rate,result
236,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,20,10,3,158,7.527272727,12,0
237,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,19,9,3,158,7.513513514,12.66666667,0
238,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,19,8,3,158,7.446428571,14.25,0
239,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,19,7,3,158,7.380530973,16.28571429,0
240,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,19,6,3,158,7.315789474,19,0
241,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,19,5,2,158,7.252173913,22.8,0
242,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,19,4,2,158,7.189655172,28.5,0
243,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,19,3,1,158,7.128205128,38,0
244,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,18,2,1,158,7.118644068,54,0
245,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,17,1,1,158,7.109243697,102,0
246,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,16,0,1,158,7.1,inf,0
247,Mumbai Indians,Kolkata Knight Riders,Mumbai,179,119,10,179,0,9.025210084,1
248,Mumbai Indians,Kolkata Knight Riders,Mumbai,179,118,10,179,0,9.101694915,1
249,Mumbai Indians,Kolkata Knight Riders,Mumbai,175,117,10,179,8,8.974358974,1
250,Mumbai Indians,Kolkata Knight Riders,Mumbai,175,116,10,179,6,9.051724138,1
251,Mumbai Indians,Kolkata Knight Riders,Mumbai,174,115,10,179,6,9.07826087,1
252,Mumbai Indians,Kolkata Knight Riders,Mumbai,170,114,10,179,9,8.947368421,1
253,Mumbai Indians,Kolkata Knight Riders,Mumbai,169,113,10,179,8.571428571,8.973451327,1
254,Mumbai Indians,Kolkata Knight Riders,Mumbai,169,112,10,179,7.5,9.053571429,1
